Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
19922408,NW,Night Patrol,,R,01/04/85,,"$7,777,778",,"$7,777,778",90,"$340,000",3,,,1:22,Comedy,,,Limited,
19921479,NW,Avenging Angel,,R,01/11/85,,"$5,622,787",,"$5,622,787",525,"$1,755,264",3,3.20,2.60,1:34,"Act/Adv, Susp/Th",,,Wide,
19922940,NW,Tuff Turf,,R,01/11/85,,"$9,369,329",,"$9,369,329",440,"$1,509,380",3,,,1:52,Drama,,,Limited,
19922399,SON,"New Kids, The",,R,01/18/85,COL,"$284,440",,"$284,440",102,"$199,108",3,,,1:30,"Horror, Susp/Th",,,Limited,
19922879,MGM,That's Dancing!,,G,01/18/85,,"$4,290,210",,"$4,290,210",906,"$1,506,802",3,2.80,2.00,1:45,Doc,,,Wide,
19921803,ORI,"Falcon And The Snowman, The",,R,01/25/85,,"$17,130,087",,"$17,130,087",265,"$2,358,846",3,,,2:11,Drama,,,Limited,
19921806,WB,Fandango,,PG,01/25/85,AMB,"$245,000","$36,617","$281,617",27,"$50,437",3,,,1:31,Drama,,,Limited,
19922490,GOL,"Perils Of Gwendoline, The",,R,01/25/85,,"$2,055,000","$2,637","$2,057,637",500,,3,,1.50,1:28,"Art/For, Act/Adv, Drama",,,Wide,
19995960,ANG,Streetwise,,NR,Jan/1985,,,,,,,3,,,1:32,Doc,,,Not Set,
19995961,TC,"Times Of Harvey Milk, The",,NR,Jan/1985,,,,,,,3,,,1:26,Doc,,,Not Set,
19921529,WB,Beyond The Walls,,R,02/01/85,,"$127,000",,"$127,000",1,"$5,000",3,,,1:43,"Art/For, Drama",,,Exclusive,
19921984,MGM,Heavenly Bodies,,R,02/01/85,,"$1,615,488",,"$1,615,488",1504,"$1,114,635",3,1.40,1.10,1:29,"Art/For, Drama",,,Wide,
19922913,CRN,Tomboy,,R,02/01/85,,"$7,000,000",,"$7,000,000",363,"$1,090,000",3,,,1:32,"Drama, Sports",,,Limited,
20064670,DIS,Fantasia-Reissue 85,,G,02/02/85,DSA,"$8,194,726",,"$8,194,726",,,3,,,2:00,"Anim, Child/Fam",,,Wide,
19921983,SON,Heaven Help Us,,R,02/08/85,TRI,"$6,070,794",,"$6,070,794",1003,"$2,235,687",3,2.70,2.20,1:44,Comedy,,,Wide,
19922319,FOX,Mischief,,R,02/08/85,,"$8,692,426",,"$8,692,426",1221,"$2,618,460",3,3.30,2.80,1:33,Rom Com,,,Wide,
19921326,PAR,Witness,,R,02/08/85,,"$65,728,709",,"$65,728,709",876,"$4,539,990",3,14.50,10.50,1:52,"Drama, Susp/Th",,,Wide,
20072233,EC,"Return Of The Soldier, The",,,02/14/85,,,,,,,3,,,,Drama,,,Not Set,
19921563,UNI,"Breakfast Club, The",,R,02/15/85,,"$46,341,651",,"$46,341,651",1071,"$4,879,217",4,9.50,7.80,1:32,Drama,,,Wide,
19921810,SON,Fast Forward,,PG,02/15/85,COL,"$2,791,350",,"$2,791,350",1162,"$1,571,394",4,1.80,1.60,1:50,Drama,,,Wide,
19922219,WB,Lost In America,,R,02/15/85,,"$10,179,576","$608,589","$10,788,165",10,"$60,681",4,,,1:31,Rom Com,,,Limited,
19922290,ORI,"Mean Season, The",,R,02/15/85,,"$4,349,446",,"$4,349,446",877,"$1,560,131",4,2.80,2.30,1:46,Susp/Th,,,Wide,
19922941,FOX,Turk 182!,,PG13,02/15/85,,"$3,594,997",,"$3,594,997",792,"$1,589,234",4,2.30,1.90,1:36,Drama,,,Wide,
19923093,WB,Vision Quest,,R,02/15/85,,"$12,993,175","$1,036,986","$14,030,161",993,"$2,651,665",4,4.90,1.00,1:45,"Drama, Sports",,,Wide,
19922068,UNI,Into The Night,,R,02/22/85,,"$7,562,164",,"$7,562,164",4,"$86,923",3,,,1:55,"Susp/Th, Comedy",,,Exclusive,
19922278,MGM,Martin's Day,,PG,02/22/85,,"$228,137",,"$228,137",201,"$169,693",3,,,1:38,"Art/For, Act/Adv, Drama",,,Limited,
19923096,ATL,1984,,R,03/01/85,,"$8,430,492",,"$8,430,492",,,3,,,1:55,"Drama, Sci/Fant",,,Limited,
19921481,MGM,"Aviator, The - MGM",,PG,03/01/85,,"$1,049,107",,"$1,049,107",11,"$22,645",3,,,1:38,"Act/Adv, Drama",,,Limited,
19921607,NW,Certain Fury,,R,03/01/85,,"$1,381,091",,"$1,381,091",406,"$833,896",3,,,1:28,"Act/Adv, Susp/Th",,,Limited,
19940837,CAN,"Missing In Action II-Beginning, The",,R,03/01/85,,"$10,755,447",,"$10,755,447",1336,"$3,868,515",3,2.80,2.20,1:36,"Act/Adv, War",,,Wide,
20072226,ILA,"Private Function, A",,,03/01/85,,,,,,,3,,,,Comedy,,,Limited,
19922563,ORI,"Purple Rose Of Cairo, The",,PG,03/01/85,,"$10,631,333",,"$10,631,333",3,"$114,095",3,,,1:22,"Rom Com, Sci/Fant",,,Exclusive,
19922833,EMB,"Sure Thing, The",,PG13,03/01/85,,"$18,135,531",,"$18,135,531",1115,"$3,124,782",3,5.80,4.60,1:34,Rom Com,,,Wide,
19922282,UNI,Mask,,PG13,03/08/85,,"$48,230,162",,"$48,230,162",4,"$135,499",3,,,2:00,Drama,,,Exclusive,
19996053,UNK,Artie Shaw: Time Is All You've Got,,NR,03/15/85,,,,,,,3,,,1:54,"Doc, Bio, Music",,,Exclusive,
19996586,EC,Camila,,NR,03/15/85,,,,,,,3,,,1:45,"Art/For, Rom Dram",,,Limited,
19922844,SON,Sylvester,,PG,03/15/85,COL,"$385,687",,"$385,687",35,"$172,814",3,,,1:43,Drama,,,Limited,
19921484,DIS,Baby...Secret of the Lost Legend,,PG,03/22/85,,"$14,972,297",,"$14,972,297",916,"$4,035,147",3,3.70,3.00,1:35,"Sci/Fant, Act/Adv, Child/Fam",,,Wide,
19921880,PAR,"Friday The 13th, Part V - A New Beginning",,R,03/22/85,,"$21,930,418",,"$21,930,418",1759,"$8,032,883",3,2.70,2.30,1:32,Horror,16,,Wide,
19922157,SON,"Last Dragon, The",,PG13,03/22/85,TRI,"$25,754,284",,"$25,754,284",1038,"$5,254,359",3,4.90,3.90,1:49,"Act/Adv, Urb/Eth",,,Wide,
19921599,GOL,"Care Bears Movie, The",,G,03/29/85,,"$22,934,622",,"$22,934,622",1003,"$3,725,001",3,6.20,3.90,1:15,"Anim, Art/For, Child/Fam",,,Wide,
