Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
20054328,IFC,"Best Offer, The",,R,01/01/14,,"$87,662",,"$87,662",1,"$2,595",3,,,2:11,Drama,55,,Exclusive,NYC
20053871,MAG,Beyond Outrage,,R,01/03/14,,"$3,878",,"$3,878",1,"$1,938",3,,,1:50,"Drama, Art/For",47,,Limited,
20048484,PAR,Paranormal Activity: The Marked Ones,,R,01/03/14,BLP,"$32,462,372","$58,455,152","$90,917,524",2867,"$18,343,611",3,1.80,1.50,1:24,"Horror, Susp/Th",38,C-,Wide,
20061351,WB,2001: A Space Odyssey - 2014 Re,,G,01/10/14,,"$135,370",,"$135,370",59,"$135,370",3,,,2:29,"Sci/Fant, Act/Adv, Drama",96,,Limited,Played Classic Series throughout 2014
20054488,IDP,Cold Comes The Night,,R,01/10/14,GOL,"$16,971",,"$16,971",21,"$11,603",3,,,1:31,Drama,42,,Limited,
20054228,LIO,Legend Of Hercules,3D,PG13,01/10/14,,"$18,848,538","$42,400,000","$61,248,538",2104,"$8,868,318",3,2.10,1.70,1:39,"Act/Adv, Sci/Fant",3,B-,Wide,
20054790,IFC,Raze,,R,01/10/14,,"$4,126","$225,091","$229,217",2,"$3,453",3,,,1:27,Horror,50,,Exclusive,NYC & LA
20054608,ANC,Return To Nuke 'Em High Vol. 1,,NR,01/10/14,,"$5,122",,"$5,122",1,"$3,226",3,,,1:25,"Susp/Th, Horror, Sci/Fant",67,,Limited,
20052508,MAG,Big Bad Wolves,,NR,01/17/14,,"$33,232","$397,825","$431,057",6,"$7,887",4,,,1:50,"Horror, Susp/Th",79,,Limited,
20050988,FOX,Devil's Due,,R,01/17/14,,"$15,821,461","$20,771,865","$36,593,326",2544,"$9,145,358",4,1.70,1.60,1:29,Horror,17,D+,Wide,
20035184,PAR,Jack Ryan: Shadow Recruit,IMAX,PG13,01/17/14,,"$50,577,412","$84,900,000","$135,477,412",3387,"$18,034,726",4,2.80,2.40,1:40,"Act/Adv, Susp/Th",57,B,Wide,
20054331,IFC,"Like Father, Like Son - IFC",,NR,01/17/14,,"$288,010","$37,591,069","$37,879,079",2,"$20,513",4,,,2:01,"Drama, Art/For",83,,Exclusive,NYC
20050604,ORF,"Nut Job, The (Ani)",3D,PG,01/17/14,,"$64,251,538","$57,567,951","$121,819,489",3427,"$25,700,000",4,2.50,2.30,1:26,"Anim, Child/Fam, Comedy",11,B,Wide,
20047225,UNI,Ride Along,,PG13,01/17/14,,"$134,938,200","$19,500,000","$154,438,200",2663,"$48,626,380",4,2.80,2.50,1:40,"Comedy, Urb/Eth",17,A,Wide,
20052368,E1,Knights Of Badassdom,,R,01/21/14,,"$123,854",,"$123,854",,"$17,449",4,,,1:26,Comedy,33,,Limited,
20053328,ROA,Gimme Shelter,,PG13,01/24/14,,"$1,359,910",,"$1,359,910",385,"$689,070",3,,,1:40,Drama,23,,Limited,
20051988,ROA,Gloria - ROA,,R,01/24/14,,"$2,107,925","$2,937,914","$5,045,839",3,"$56,454",3,,,1:50,Drama,99,C+,Limited,
